,CODE,TYPE,COLOUR
AN1,AN1,ANTES,#9E7300
AN2,AN2,ANTES,#9E7300
AN3,AN3,ANTES,#9E7300
AN4,AN4,ANTES,#9E7300
AN5,AN5,ANTES,#9E7300
AN6,AN6,ANTES,#9E7300
AN7,AN7,ANTES,#9E7300
AN8,AN8,ANTES,#9E7300
AN9,AN9,ANTES,#9E7300
AN10,AN10,ANTES,#9E7300
AN11,AN11,ANTES,#9E7300
AN12,AN12,ANTES,#9E7300
DE1,DE1,DESPUES,#009E73
DE2,DE2,DESPUES,#009E73
DE3,DE3,DESPUES,#009E73
DE4,DE4,DESPUES,#009E73
DE5,DE5,DESPUES,#009E73
DE6,DE6,DESPUES,#009E73
DE7,DE7,DESPUES,#009E73
DE8,DE8,DESPUES,#009E73
DE9,DE9,DESPUES,#009E73
DE10,DE10,DESPUES,#009E73
DE11,DE11,DESPUES,#009E73
DE12,DE12,DESPUES,#009E73